"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"KRT17",1277.01393414615,5.69617020522947,0.468896735073171,12.1480270156724,5.87666689643326e-34,1.80677524070953e-31,"protein_coding"
"IGFBP2",1210.84242954334,1.90994506074998,0.157267223168238,12.1445843722108,6.12932641062656e-34,1.84676604752178e-31,"protein_coding"
"AVPR1A",292.27947707691,4.23906541394586,0.350190866607282,12.1050142027254,9.93521819459688e-34,2.93478553140396e-31,"protein_coding"
"EPHA3",373.124178672454,2.79196993816414,0.233123604095325,11.9763502670561,4.72678656907122e-33,1.36940460890496e-30,"protein_coding"
"SSC5D",774.947343471651,2.32846583009644,0.194704797500502,11.9589545814373,5.82911422064616e-33,1.65689822139688e-30,"protein_coding"
"SCG5",39.416921383133,3.04366646929422,0.254968613681424,11.937416238601,7.55332150414132e-33,2.10723682333128e-30,"protein_coding"
"SCG2",50.9968241144871,2.97384975724086,0.24923816737252,11.9317590423301,8.08468303982711e-33,2.21446818172719e-30,"protein_coding"
"SYTL2",914.17559307204,1.42203362922124,0.12006868260179,11.8435015560006,2.32537512422372e-32,6.2556743297197e-30,"protein_coding"
"RGS5",5773.67023359967,2.28356776105854,0.192978644738464,11.8332666505839,2.62714773061905e-32,6.94350536171508e-30,"protein_coding"
"SSUH2",26.2319049623524,4.19573878395844,0.354691175818618,11.8292730972931,2.75517354830975e-32,7.15632577677351e-30,"protein_coding"
"NRGN",454.910452079959,-2.22277592997,0.188807897517301,-11.7726851429312,5.39785896281924e-32,1.37828381821817e-29,"protein_coding"
"EYA2",186.869287447647,3.29197583116617,0.280098151323244,11.7529366602892,6.82065501534139e-32,1.71255279676863e-29,"protein_coding"
"CYP27C1",29.398616385046,4.4841474975787,0.383043983753251,11.7066125243395,1.17896383463799e-31,2.91165412603628e-29,"protein_coding"
"EFNB3",108.770387592779,2.92282456896028,0.250938274393431,11.6475837575011,2.36057252091682e-31,5.73581048832449e-29,"protein_coding"
"VWCE",47.0875912414563,2.65087720321507,0.228174001196031,11.6177881323895,3.34689207234055e-31,8.00332207457307e-29,"protein_coding"
