"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"GBP5",516.47803212087,1.47328985555349,0.346145993033695,4.25626725486916,2.07868212581335e-05,0.00260961218544817,"protein_coding"
"BTLA",20.3626818183479,1.26805653651768,0.300181509294938,4.22429928977327,2.39685351456127e-05,0.00291198372555367,"protein_coding"
"FMNL1",1218.62909389281,0.624625980642254,0.14770118057914,4.22898434659142,2.34748676806064e-05,0.00291198372555367,"protein_coding"
"NDC80",38.3761492102952,1.35913307307818,0.321555264545921,4.22674800550213,2.3709293126307e-05,0.00291198372555367,"protein_coding"
"ARID3A",229.495011293589,0.406598613936743,0.0962216408639754,4.22564622974509,2.38256046595204e-05,0.00291198372555367,"protein_coding"
"CDC25A",24.5811296354792,1.6286480037949,0.386237421437014,4.21670173163296,2.47901520712075e-05,0.00294377341458192,"protein_coding"
"RIPOR2",787.999860675631,1.0063738443114,0.238767559782537,4.21486840686387,2.4992387156919e-05,0.00294377341458192,"protein_coding"
"TMEM132D",14.889774911799,-2.50123873846157,0.593456918814289,-4.21469302853353,2.50118152715888e-05,0.00294377341458192,"protein_coding"
"BIRC5",86.2006878194239,1.95852176855882,0.464541392926631,4.2160328409489,2.48637567310951e-05,0.00294377341458192,"protein_coding"
"TDO2",75.969834091597,2.39857468278728,0.570703191926141,4.20284084042357,2.63585927657244e-05,0.00307823410864835,"protein_coding"
"MSRB1",495.437268782629,0.652811534092872,0.155480926268334,4.1986599241519,2.68499197532419e-05,0.00311149262371223,"protein_coding"
"TICRR",19.5463100511706,1.72836924554985,0.411978996192962,4.19528486044547,2.72528859422978e-05,0.00313408188336424,"protein_coding"
"CPE",966.786569575954,-0.921916761209223,0.219972674275198,-4.19105129419782,2.77664871219494e-05,0.00316895551888006,"protein_coding"
"SH2D2A",71.8017710239526,1.24863871227452,0.298317009647899,4.18561017941378,2.84401072838685e-05,0.00322143019722916,"protein_coding"
"CD79A",36.984998843283,1.07356435510439,0.25682099777986,4.18020475111083,2.91246736170313e-05,0.00327435229881027,"protein_coding"
"PRG4",684.153263314357,-1.61943022438017,0.388151680472167,-4.17215822023549,3.01727992204705e-05,0.00330392156483425,"protein_coding"
"HJURP",41.9806007637472,1.70134202400455,0.40785253212825,4.17146367861598,3.02649303648939e-05,0.00330392156483425,"protein_coding"
"FAM111B",59.9327469874322,1.84711280227357,0.442414491269364,4.17507301122501,2.97890499187598e-05,0.00330392156483425,"protein_coding"
"ARHGAP9",588.488574000636,0.81768105238202,0.195861958972991,4.17478236544533,2.98271059148544e-05,0.00330392156483425,"protein_coding"
"PRSS23",2286.86268737501,-0.736779975847521,0.176713958378951,-4.16933660818998,3.05487529275863e-05,0.00330519184298389,"protein_coding"
"IL4I1",69.2952944752949,1.97684222350243,0.474279352072854,4.1680967448036,3.07153573194653e-05,0.00330519184298389,"protein_coding"
"WNT9B",25.2618577375035,-1.71471715599214,0.411809472024509,-4.16386040748982,3.1291146588717e-05,0.00331972622083818,"protein_coding"
"GMIP",642.547304436231,0.628338095052532,0.150853426896287,4.16522254734405,3.11048994497864e-05,0.00331972622083818,"protein_coding"
"PLA2G2D",8.97818127532076,2.36888972175804,0.569305116049774,4.1610195569557,3.16829949312229e-05,0.00333440060458082,"protein_coding"
"CCL19",527.594276699121,2.80698474257106,0.674811059366185,4.15966025394947,3.18721332266603e-05,0.00333440060458082,"protein_coding"
"HMMR",37.727317732847,1.43912171334277,0.346533365628533,4.1529095206533,3.28274559480246e-05,0.00341065947487579,"protein_coding"
